pokemon,version,method,location_area,min_level,max_level,chance,conditions
poochyena,emerald,walk,Petalburg Woods,5,5,20,
poochyena,emerald,walk,Petalburg Woods,6,6,10,
poochyena,emerald,walk,Hoenn Route 101,2,2,20,
poochyena,emerald,walk,Hoenn Route 101,3,3,10,
poochyena,emerald,walk,Hoenn Route 101,3,3,5,
poochyena,emerald,walk,Hoenn Route 102,3,3,20,
poochyena,emerald,walk,Hoenn Route 102,4,4,10,
poochyena,emerald,walk,Hoenn Route 103,2,2,20,
poochyena,emerald,walk,Hoenn Route 103,3,3,20,
poochyena,emerald,walk,Hoenn Route 103,3,3,10,
poochyena,emerald,walk,Hoenn Route 103,4,4,10,
poochyena,emerald,walk,Hoenn Route 104,4,4,20,
poochyena,emerald,walk,Hoenn Route 104,5,5,10,
poochyena,emerald,walk,Hoenn Route 110,12,12,20,
poochyena,emerald,walk,Hoenn Route 116,6,6,20,
poochyena,emerald,walk,Hoenn Route 116,7,7,4,
poochyena,emerald,walk,Hoenn Route 116,8,8,4,
poochyena,emerald,walk,Hoenn Route 117,13,13,20,
poochyena,emerald,walk,Hoenn Route 117,14,14,10,
poochyena,emerald,walk,Hoenn Route 120,25,25,20,
poochyena,emerald,walk,Hoenn Route 121,26,26,20,
poochyena,emerald,walk,Hoenn Route 123,26,26,20,